Cliente;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
Joan March + uniformidad;;;;;;;
Hospital Son LLatzer;;;;;No;;
Palas Avenidas;;;;;Si;;
Sofia;;;;;Si;;
Calardiaca (J-D);;;;;;;
M. House;;;;;;;
Hotel II;;;;;;;
Estudio 6 (J-D);;;;;;;
Icon Roseto;;;;;;;
Aldea 2;;;;;;;
Sun Beach;;;;;;;
Maristel (M-J-D);;;;;;;
Surfing Playa;;;;;;;
Holiday Center;;;;;;;
Policlinica;;;;;;;
Nixe;;;;;;;
Hospital de Muro;;;;;;;
Panoramic;;;;;;;
Efeso;;;;;;;
Mariner;;;;;;;
Blue Sea Piscis;;;;;;;
President;;;;;;;
Ses Roquetes;;;;;;;
JS Yate;;;;;;;
Ivory;;;;;;;
JS Miramar;;;;;;;
Aptos Sand (L X V D);;;;;;;
Es Talaia;;;;;;;
Hotel Eques;;;;;;;
Residencia Felanitx;;;;;;;
Calimera;;;;;;;
Agroturismo;;;;;;;
San Jaime (L X S);;;;;;;
Waterfront;;;;;;;
Punt Mar;;;;;;;
Bali Park;;;;;;;
Orlando;;;;;;;
Bali Tower;;;;;;;
Occidental;;;;;;;
Tres Torres (L X V D);;;;;;;
Pabisa Chico;;;;;;;
Mar Senses;;;;;;;
Barcelo Cala Vinas;;;;;;;
Hilton Galatzo;;;;;;;
Rosa del Mar;;;;;;;
JS Alcudi Mar;;;;;;;
JS Can Picafort;;;;;;;
JS Sol de Alcudia;;;;;;;
Bluebay Can Picafort;;;;;;;
Tucan;;;;;;;
Nature Olea;;;;;;;
Icon Valparaiso;;;;;;;
Cala Murada;;;;;;;
Ferrera Blanca;;;;;;;
Barcelo Agua Marina;;;;;;;
Cala d'Or;;;;;;;
Azul Playa;;;;;;;
Sunwing;;;;;;;
